Hebi 1 torque	Hebi 2 torque	M3 torque
1.09552	-0.0486396	0.000778827	
1.07301	-0.0376621	0.017101	
1.08006	-0.0102192	-0.0169739	
1.09049	-0.0779114	0.00335835	
1.09526	0.028161	0.0179714	
1.09436	-0.0557426	-0.0154708	
1.0973	-0.00915701	-0.00325792	
1.08871	0.000473306	0.041898	
1.09186	-0.0514674	-0.0380617	
1.10119	-0.0358737	-0.00223638	
1.11414	-0.0673411	0.00978569	
1.09845	-0.0285482	0.0350097	
1.12878	-0.0380941	-0.0336058	
1.12877	-0.0130583	7.44317e-06	
1.11607	-0.018797	0.00107744	
1.1077	-0.030315	-0.0046006	
1.10705	-0.0685866	-0.000825628	
1.10441	-0.0101032	0.0332457	
1.12769	-0.0464579	-0.0303325	
1.13416	0.0259213	0.00124787	
1.13587	-0.00400755	0.0104134	
1.11993	-0.034572	0.0177601	
1.10517	-0.00424373	0.0150405	
1.12215	-0.048432	-0.00589558	
1.10521	-0.147049	-0.0169051	
1.15851	0.0439071	-0.00317939	
1.13037	0.0156703	-0.00554694	
1.12341	-0.0447819	0.00270486	
1.108	-0.042542	0.0271241	
1.16045	-0.0727896	-0.0276102	
1.14581	0.0529762	0.0237682	
1.12434	-0.0640284	-0.0205096	
1.12693	0.0702423	0.0352395	
1.12368	-0.0512286	-0.0280049	
1.12341	-0.106862	0.000458066	
1.17102	0.0140459	-0.00595697	
1.14703	-0.0346572	0.000291849	
1.15035	-0.00990309	-0.000945775	
1.14779	-0.0120771	-0.00379949	
1.1429	-0.043081	-3.94061e-05	
1.1215	-0.154689	-0.0464561	
1.18277	0.0830866	0.0380739	
1.13075	0.0227324	0.0295594	
1.14356	-0.0384992	-0.024226	
1.15669	-0.0524329	-0.0153123	
1.15503	-0.0277037	-0.00187936	
